Front,Back,Notes
das Gespräch,the conversation,
die Gesellschaft,the society,
der Kurs,the course,
die Lösung,the solution,
das Land / die Stadt,the country / the city,
erzählen,to tell,
einverstanden?,do you agree?,
schreiben,to write,
hören,to hear,
lesen,to read,
die Welt,the world,
die Schweiz,Switzerland,
die Türkei,Turkey,
aus China,from China,
aus Österreich,from Austria,
aus Indien,from India,
aus den USA,from the USA,
aus Frankreich,from France,
aus Deutschland,from Germany,
aus Italien,from Italy,
aus Spanien,from Spain,
aus Mexiko,from Mexico,
ß,sharp s,
igitt igitt,yuck yuck,
die Kunst,the art,
buchstabieren,to spell,
der Buchstabe,the letter,
herzlich willkommen,welcome,Introductory phrases and questions
ich heisse Ilker, wie heisst du?,my name is Ilker, what is your name?,
Haben Sie eine Frage? Alles klar?,Do you have a question? Is everything clear?,
Woher kommst du? Ich komme aus der Türkei.,Where are you from? I am from Turkey.,
Wie heissen Sie? Wie heisst du?,What is your name? [formal/informal],Formal and informal speech
Woher kommen Sie? Woher kommst du?,Where are you from? [formal/informal],Formal and informal speech
ei,pronounced as "i" in "mine",Spelling and pronunciation
au,pronounced as "ou" in "out",Spelling and pronunciation
eu/äu,pronounced as "oi",Spelling and pronunciation
VW,Volkswagen,Abbreviations and their meanings
BMW,BMW,Abbreviations and their meanings
TUM,Technical University of Munich,Abbreviations and their meanings
KI,Künstliche Intelligenz (Artificial Intelligence),Abbreviations and their meanings

